"","estrato1","sex","age","p6240","p6426","ina","maxEducLevel","ocu","dsi","y_total_m_ha"
"653",2,1,30,1,9,NA,6,1,0,8610.037109375
"654",2,0,28,1,11,NA,7,1,0,6754.3857421875
"656",2,0,36,1,72,NA,4,1,0,3733.33325195312
"660",2,1,37,1,240,NA,1,1,0,1944.44445800781
"664",2,0,55,4,240,NA,4,1,0,5211.111328125
"665",2,1,28,1,15,NA,6,1,0,4435.87890625
"666",2,0,22,1,20,NA,6,1,0,4290.0458984375
"669",2,1,25,1,24,NA,7,1,0,6049.5234375
"670",2,0,23,1,8,NA,7,1,0,3402.77783203125
"671",3,1,59,6,396,NA,7,1,0,58381.94140625
"673",3,1,25,1,12,NA,7,1,0,7777.77783203125
"678",3,0,54,1,48,NA,7,1,0,37851.8515625
"680",3,1,67,6,1,NA,5,1,0,7000
"681",3,0,36,6,144,NA,7,1,0,8035.41650390625
"684",3,1,41,1,24,NA,7,1,0,NA
"685",3,0,48,1,6,NA,7,1,0,3715.75415039062
"689",3,0,52,1,228,NA,6,1,0,NA
"690",3,1,40,1,60,NA,7,1,0,NA
"691",2,1,55,1,48,NA,6,1,0,6066.66650390625
"692",2,0,50,1,60,NA,6,1,0,4666.66650390625
"693",2,1,28,1,0,NA,7,1,0,4666.66650390625
"694",2,1,24,1,2,NA,7,1,0,5833.33349609375
"695",2,1,21,1,48,NA,7,1,0,6222.22216796875
"697",2,0,60,6,56,NA,5,1,0,4290.0458984375
"701",3,1,50,1,180,NA,7,1,0,15000
"702",3,0,48,1,120,NA,7,1,0,33333.33203125
"706",2,1,54,1,36,NA,6,1,0,6319.4443359375
"710",3,1,39,6,12,NA,7,1,0,24305.5546875
"711",3,0,36,6,12,NA,7,1,0,15798.611328125
"714",3,1,38,1,13,NA,7,1,0,15728.39453125
"715",3,0,32,1,36,NA,7,1,0,17694.443359375
"716",2,0,59,1,24,NA,4,1,0,4375
"717",2,0,29,6,24,NA,7,1,0,7000
"719",3,1,56,1,3,NA,6,1,0,5104.16650390625
"720",3,0,61,4,9,NA,7,1,0,466.666656494141
"721",3,0,57,1,360,NA,6,1,0,7777.77783203125
"723",3,0,23,6,6,NA,7,1,0,6480.54150390625
"727",4,1,62,6,48,NA,7,1,0,2333.33325195312
"730",3,0,31,1,16,NA,6,1,0,2857.3115234375
"733",3,0,21,1,12,NA,6,1,0,2459.056640625
"737",3,1,60,1,16,NA,5,1,0,12962.962890625
"738",3,0,35,6,60,NA,7,1,0,3224.73266601562
"742",3,0,57,1,216,NA,7,1,0,NA
"743",3,1,75,1,240,NA,7,1,0,9722.22265625
"745",2,1,37,1,42,NA,7,1,0,18643.333984375
"746",2,0,40,4,2,NA,7,1,0,9015.1513671875
"748",2,1,35,6,42,NA,6,1,0,2916.66674804688
"754",3,1,28,1,60,NA,7,1,0,NA
"755",3,0,35,6,80,NA,7,1,0,NA
"757",2,1,45,1,36,NA,5,1,0,5833.33349609375
"758",2,0,45,1,60,NA,5,1,0,3888.88891601562
"760",2,1,19,3,2,NA,7,1,0,3500
"767",4,1,49,6,60,NA,7,1,0,14166.6669921875
"768",4,0,40,1,8,NA,7,1,0,4788.33251953125
"770",4,0,37,4,24,NA,7,1,0,2777.77783203125
"775",2,1,47,1,84,NA,6,1,0,4973.59716796875
"776",2,0,43,1,120,NA,6,1,0,8750
"778",4,1,55,6,216,NA,7,1,0,NA
"779",4,0,48,6,24,NA,7,1,0,NA
"786",3,0,48,1,36,NA,5,1,0,4375
"791",3,0,56,4,36,NA,5,1,0,6000
"792",3,0,35,1,168,NA,7,1,0,13165.5087890625
"795",2,1,38,1,180,NA,6,1,0,6041.66650390625
"803",4,1,53,6,384,NA,7,1,0,22890.97265625
"807",4,1,56,1,336,NA,7,1,0,14583.3330078125
"808",4,1,56,6,360,NA,6,1,0,7291.66650390625
"810",4,0,58,1,444,NA,3,1,0,3586.12426757812
"812",2,1,66,1,8,NA,3,1,0,3904.15283203125
"815",4,1,50,1,348,NA,7,1,0,33939.39453125
"816",4,0,51,1,96,NA,7,1,0,14218.75
"822",3,0,29,1,70,NA,7,1,0,NA
"827",3,1,20,6,11,NA,6,1,0,7291.66650390625
"829",3,1,62,2,0,NA,6,1,0,518.518493652344
"830",3,0,57,4,24,NA,5,1,0,1866.66662597656
"831",3,0,28,2,0,NA,6,1,0,6416.66650390625
"833",3,1,54,1,120,NA,5,1,0,12152.77734375
"835",3,0,32,1,12,NA,7,1,0,15636.57421875
"838",2,0,43,6,48,NA,5,1,0,NA
"839",2,1,23,3,48,NA,7,1,0,NA
"840",2,0,22,3,48,NA,7,1,0,NA
"841",2,0,19,3,48,NA,7,1,0,NA
"842",2,1,26,1,1,NA,6,1,0,4320.98779296875
"843",2,0,36,1,1,NA,4,1,0,4256.29541015625
"845",1,0,64,1,12,NA,4,1,0,166.66667175293
"846",1,1,37,1,2,NA,6,1,0,3990.27709960938
"848",1,1,58,1,12,NA,3,1,0,466.666656494141
