"","estrato1","sex","age","p6240","p6426","ina","maxEducLevel","ocu","dsi","y_total_m_ha"
"13006",4,1,50,1,144,NA,7,1,0,NA
"13007",4,0,48,1,72,NA,7,1,0,11690.9716796875
"13010",2,1,23,1,2,NA,7,1,0,4226.5078125
"13011",2,1,28,1,1,NA,6,1,0,3454.15380859375
"13013",3,0,39,1,12,NA,6,1,0,5347.22216796875
"13015",2,1,77,1,120,NA,1,1,0,NA
"13017",4,1,43,1,72,NA,7,1,0,37333.33203125
"13018",4,0,31,1,1,NA,7,1,0,17500
"13019",2,1,31,1,120,NA,3,1,0,4761.90478515625
"13021",2,0,51,1,1,NA,6,1,0,2592.59252929688
"13024",3,1,55,1,240,NA,7,1,0,17500
"13025",3,1,23,1,12,NA,7,1,0,9006.095703125
"13028",3,1,34,1,84,NA,7,1,0,19541.666015625
"13029",3,0,33,1,58,NA,7,1,0,5752.31494140625
"13031",3,1,37,1,84,NA,7,1,0,25277.779296875
"13032",3,0,36,1,84,NA,7,1,0,25277.779296875
"13033",3,1,46,1,96,NA,6,1,0,NA
"13034",3,0,41,1,30,NA,6,1,0,5986.673828125
"13035",3,1,20,1,4,NA,7,1,0,5817.75048828125
"13039",1,1,32,1,144,NA,6,1,0,10046.2958984375
"13040",1,0,25,1,2,NA,6,1,0,3733.33325195312
"13041",3,0,47,1,48,NA,6,1,0,3159.72216796875
"13042",3,1,24,1,12,NA,7,1,0,7274.86865234375
"13044",3,0,25,1,58,NA,7,1,0,13306.4814453125
"13048",3,1,31,4,4,NA,6,1,0,9660.5888671875
"13049",3,0,37,1,0,NA,7,1,0,5711.75390625
"13050",3,0,52,1,4,NA,6,1,0,3888.88891601562
"13051",3,1,56,1,240,NA,7,1,0,9333.3330078125
"13054",3,1,39,1,75,NA,7,1,0,8487.7158203125
"13057",3,1,23,1,18,NA,6,1,0,3888.88891601562
"13060",3,0,60,1,324,NA,7,1,0,23333.333984375
"13061",3,1,55,6,60,NA,7,1,0,NA
"13064",3,1,36,1,36,NA,6,1,0,4101.5234375
"13070",2,0,28,1,2,NA,6,1,0,4938.5458984375
"13071",3,1,72,1,120,NA,6,1,0,5833.33349609375
"13074",1,1,45,1,13,NA,6,1,0,6373.9423828125
"13076",1,0,53,6,24,NA,4,1,0,1458.33337402344
"13078",2,1,66,1,480,NA,5,1,0,2424.24243164062
"13079",2,0,66,1,4,NA,3,1,0,3809.52392578125
"13080",2,1,32,1,144,NA,6,1,0,5168.38671875
"13083",2,1,43,1,2,NA,5,1,0,3582.60766601562
"13086",2,1,26,1,1,NA,7,1,0,3375.73706054688
"13088",2,0,38,1,3,NA,7,1,0,2083.33325195312
"13089",3,1,43,1,63,NA,6,1,0,3240.74072265625
"13094",3,0,45,1,160,NA,6,1,0,4050.92578125
"13095",3,1,60,6,204,NA,4,1,0,4936.7470703125
"13096",3,0,60,4,72,NA,6,1,0,5444.4443359375
"13097",3,1,51,1,60,NA,5,1,0,2222.22216796875
"13099",3,1,45,1,72,NA,7,1,0,11666.6669921875
"13100",3,0,47,1,18,NA,7,1,0,875
"13104",3,1,25,1,10,NA,6,1,0,3305.5556640625
"13105",3,1,56,1,180,NA,5,1,0,6367.46044921875
"13106",3,0,51,1,120,NA,6,1,0,1750
"13107",3,1,42,1,48,NA,6,1,0,3510.35668945312
"13109",3,0,41,1,180,NA,6,1,0,2916.66674804688
"13112",2,0,40,1,1,NA,3,1,0,4266.97509765625
"13115",2,0,24,1,36,NA,7,1,0,4580.96630859375
"13116",2,1,42,1,18,NA,3,1,0,10351.951171875
"13118",2,0,40,1,2,NA,6,1,0,3622.72094726562
"13124",2,1,39,1,12,NA,4,1,0,4433.33349609375
"13129",3,1,38,1,0,NA,7,1,0,NA
"13130",3,0,30,4,18,NA,6,1,0,2916.66674804688
"13138",3,1,51,1,1,NA,3,1,0,3797.7041015625
"13141",3,1,20,1,24,NA,7,1,0,5071.75927734375
"13142",3,0,47,1,36,NA,6,1,0,5833.33349609375
"13144",3,0,47,1,4,NA,5,1,0,4226.5078125
"13145",3,1,57,1,11,NA,6,1,0,6451.72021484375
"13146",2,0,23,1,6,NA,6,1,0,2916.66674804688
"13149",2,1,43,1,84,NA,6,1,0,7153.7880859375
"13151",2,0,42,1,24,NA,3,1,0,4666.66650390625
"13152",2,1,51,1,8,NA,7,1,0,3931.66674804688
"13153",2,0,45,1,96,NA,6,1,0,3733.33325195312
"13159",2,0,45,1,3,NA,4,1,0,3954.80224609375
"13160",2,1,20,1,6,NA,4,1,0,4861.111328125
"13161",2,0,23,1,14,NA,6,1,0,7112.8310546875
"13163",2,0,27,3,2,NA,7,1,0,5833.33349609375
"13166",2,1,28,1,24,NA,7,1,0,6586.21044921875
"13167",2,1,34,1,12,NA,4,1,0,3943.53759765625
"13168",2,0,37,1,18,NA,1,1,0,4479.4814453125
"13170",2,1,20,1,5,NA,7,1,0,4220.47021484375
"13173",2,0,53,1,6,NA,3,1,0,5600
"13174",2,1,50,1,96,NA,4,1,0,3888.88891601562
"13175",2,1,20,4,5,NA,6,1,0,1777.77783203125
"13176",2,0,29,1,120,NA,5,1,0,4861.111328125
"13177",2,1,29,1,3,NA,5,1,0,7424.2421875
"13178",2,1,45,1,18,NA,6,1,0,3773.4375
"13184",2,1,31,1,1,NA,6,1,0,3888.88891601562
"13185",2,0,33,1,120,NA,7,1,0,9691.4345703125
"13186",2,1,58,6,30,NA,5,1,0,4525.3515625
"13187",2,0,55,1,36,NA,4,1,0,4525.3515625
"13188",2,1,26,1,4,NA,6,1,0,5247.44287109375
"13190",2,1,44,1,204,NA,6,1,0,3402.77783203125
"13191",2,1,61,1,18,NA,3,1,0,4121.7783203125
"13194",3,0,57,1,36,NA,3,1,0,3375.73706054688
"13195",3,1,29,1,18,NA,7,1,0,4525.3515625
"13196",3,1,23,1,6,NA,7,1,0,5873.8427734375
"13198",3,0,57,6,28,NA,3,1,0,NA
"13199",3,0,26,1,12,NA,7,1,0,5780.88671875
"13200",3,1,73,1,28,NA,4,1,0,3888.88891601562
"13201",3,0,34,6,48,NA,6,1,0,12444.4443359375
"13203",2,1,24,1,14,NA,7,1,0,5665.708984375
"13208",2,0,38,1,24,NA,3,1,0,4866.13525390625
"13210",2,1,26,1,9,NA,6,1,0,3797.7041015625
"13212",2,1,21,1,9,NA,7,1,0,4958.33349609375
"13215",2,1,59,1,1,NA,5,1,0,4226.5078125
"13216",2,0,30,1,72,NA,7,1,0,4501.970703125
"13217",2,1,56,1,36,NA,4,1,0,4073.16723632812
"13220",2,1,35,1,4,NA,7,1,0,17921.296875
"13221",2,0,42,6,5,NA,6,1,0,2916.66674804688
"13222",2,0,69,4,0,NA,3,1,0,NA
"13225",3,0,36,1,108,NA,6,1,0,2456.14038085938
"13228",3,1,39,1,2,NA,6,1,0,7000
"13229",2,0,29,1,18,NA,7,1,0,6900.88671875
"13231",2,1,38,1,240,NA,7,1,0,15303.498046875
"13232",2,0,45,6,264,NA,7,1,0,8772.435546875
"13234",2,0,53,1,120,NA,6,1,0,3178.69018554688
"13236",2,1,40,1,8,NA,7,1,0,4238.888671875
"13240",2,0,38,4,12,NA,7,1,0,145.83332824707
"13241",3,0,58,1,35,NA,7,1,0,NA
"13242",3,1,56,1,240,NA,6,1,0,NA
"13245",2,0,34,4,3,NA,7,1,0,2800
"13246",2,1,30,1,48,NA,6,1,0,5654.498046875
"13247",3,0,29,1,60,NA,7,1,0,4987.0400390625
"13249",2,1,40,1,96,NA,5,1,0,NA
"13252",1,1,29,1,96,NA,6,1,0,2916.66674804688
"13254",1,0,25,1,3,NA,7,1,0,4907.2451171875
"13255",1,1,51,1,192,NA,6,1,0,4096.5478515625
"13258",3,0,24,1,2,NA,6,1,0,3888.88891601562
"13259",3,0,45,1,36,NA,4,1,0,2666.66674804688
"13264",1,1,39,1,36,NA,6,1,0,3966.66674804688
"13265",1,0,33,1,12,NA,5,1,0,2430.5556640625
"13267",1,1,49,1,60,NA,3,1,0,2916.66674804688
"13268",1,0,43,1,84,NA,5,1,0,3159.72216796875
"13270",3,1,68,1,96,NA,7,1,0,6436.78173828125
"13271",4,0,51,6,60,NA,7,1,0,NA
"13272",4,0,66,6,240,NA,6,1,0,29166.666015625
"13273",4,0,38,1,24,NA,7,1,0,6895.70166015625
"13276",4,0,48,1,1,NA,7,1,0,15750
"13277",4,1,70,6,240,NA,6,1,0,23333.333984375
"13278",4,0,68,1,120,NA,7,1,0,18666.666015625
"13279",4,0,30,1,24,NA,7,1,0,19444.443359375
"13280",4,1,42,1,216,NA,7,1,0,35081.01953125
"13281",4,1,65,1,360,NA,7,1,0,29166.666015625
"13284",3,1,31,1,60,NA,6,1,0,6222.22216796875
"13286",2,0,35,1,27,NA,6,1,0,4826.740234375
"13288",2,1,37,1,36,NA,6,1,0,4137.2060546875
"13294",2,1,28,1,1,NA,6,1,0,NA
"13295",2,0,30,1,3,NA,7,1,0,2916.66674804688
"13298",3,0,58,1,264,NA,5,1,0,5824.63671875
"13299",3,1,28,1,60,NA,7,1,0,NA
"13301",4,0,54,1,96,NA,6,1,0,4131.9443359375
"13302",4,0,58,1,12,NA,7,1,0,18316.666015625
"13304",2,0,50,6,72,NA,3,1,0,NA
"13305",2,1,50,6,72,NA,3,1,0,3888.88891601562
"13307",4,1,79,1,600,NA,7,1,0,2000
"13309",3,1,30,1,9,NA,5,1,0,4666.66650390625
"13310",3,0,31,1,4,NA,6,1,0,3402.77783203125
"13312",4,0,43,1,7,NA,7,1,0,23333.333984375
"13314",4,1,54,1,24,NA,7,1,0,37333.33203125
"13315",2,1,49,1,20,NA,5,1,0,7166.3037109375
"13316",2,0,43,1,9,NA,6,1,0,4280.85009765625
"13320",2,1,37,1,0,NA,5,1,0,3966.66674804688
"13322",2,0,35,1,0,NA,5,1,0,2333.33325195312
"13324",2,1,39,1,1,NA,5,1,0,3111.11108398438
"13325",2,1,32,1,24,NA,5,1,0,3888.88891601562
"13326",4,0,59,1,96,NA,7,1,0,4861.111328125
"13327",4,1,37,1,48,NA,7,1,0,4861.111328125
"13329",2,0,24,1,1,NA,7,1,0,5071.80908203125
"13333",1,1,57,1,6,NA,3,1,0,6805.5556640625
"13334",1,0,61,6,6,NA,3,1,0,1944.44445800781
"13335",1,1,24,1,18,NA,6,1,0,5046.85888671875
"13337",4,0,68,6,0,NA,7,1,0,2333.33325195312
"13338",4,1,25,1,6,NA,7,1,0,8750
"13339",4,0,25,1,15,NA,7,1,0,7234.35888671875
"13342",3,0,47,1,276,NA,7,1,0,9027.77734375
"13347",2,1,25,1,3,NA,6,1,0,3181.81811523438
"13348",1,1,27,1,84,NA,5,1,0,NA
"13353",4,1,69,1,120,NA,7,1,0,17500
"13354",4,1,25,1,12,NA,7,1,0,8101.8515625
"13356",1,0,45,1,6,NA,6,1,0,4148.14794921875
"13359",2,1,34,1,120,NA,6,1,0,4375
"13361",3,1,43,1,2,NA,7,1,0,NA
"13363",3,0,43,1,3,NA,7,1,0,27151.515625
"13365",3,0,37,1,10,NA,6,1,0,2995.49560546875
"13367",2,1,39,1,180,NA,4,1,0,2462.962890625
"13368",2,0,50,1,36,NA,6,1,0,1166.66662597656
"13369",1,0,55,6,5,NA,3,1,0,4226.5078125
"13370",1,1,61,1,24,NA,4,1,0,4525.3515625
"13371",1,0,42,1,18,NA,5,1,0,4375
"13372",1,1,54,1,120,NA,3,1,0,NA
"13376",4,1,44,1,120,NA,7,1,0,19484.953125
"13377",4,0,39,1,18,NA,7,1,0,28700.80859375
"13379",4,0,30,1,38,NA,7,1,0,28275.462890625
"13380",4,0,32,1,3,NA,7,1,0,6805.5556640625
"13382",4,1,52,6,72,NA,7,1,0,4525.3515625
"13383",4,0,53,1,1,NA,3,1,0,3797.7041015625
"13385",2,1,61,1,454,NA,6,1,0,9965.27734375
"13386",2,0,27,4,0,NA,7,1,0,NA
"13389",2,1,32,1,24,NA,7,1,0,4666.32373046875
"13391",2,1,18,1,5,NA,7,1,0,3797.7041015625
"13392",2,1,39,1,96,NA,4,1,0,5185.18505859375
"13394",2,0,39,4,12,NA,4,1,0,NA
"13395",2,1,57,1,324,NA,5,1,0,10532.408203125
"13397",2,0,33,1,2,NA,4,1,0,4368.2900390625
"13403",1,1,46,1,264,NA,5,1,0,4861.111328125
"13404",1,0,40,1,24,NA,6,1,0,5837.85107421875
"13406",3,1,60,1,180,NA,6,1,0,14583.3330078125
"13408",3,1,23,1,9,NA,7,1,0,4131.9443359375
"13410",3,1,31,1,24,NA,7,1,0,8750
"13412",3,1,50,1,252,NA,6,1,0,2916.66674804688
"13417",2,1,62,1,36,NA,4,1,0,2333.33325195312
"13418",4,0,26,1,3,NA,7,1,0,17175.92578125
"13419",3,0,40,4,3,NA,6,1,0,NA
"13421",3,1,38,1,3,NA,5,1,0,NA
"13424",4,0,39,1,6,NA,7,1,0,56000
"13425",2,1,22,1,12,NA,6,1,0,4388.54443359375
"13428",4,0,65,6,60,NA,7,1,0,16333.3330078125
"13429",4,0,46,1,120,NA,7,1,0,20416.666015625
"13430",2,1,41,1,84,NA,4,1,0,5266.2041015625
"13432",2,0,19,1,5,NA,7,1,0,3791.66674804688
"13434",4,0,29,1,10,NA,7,1,0,6901.11572265625
"13435",4,1,29,1,24,NA,7,1,0,NA
"13437",3,0,37,1,60,NA,6,1,0,NA
"13439",3,1,36,1,144,NA,7,1,0,14745.37109375
"13441",2,0,24,4,1,NA,6,1,0,2545.45458984375
"13442",2,0,21,1,3,NA,7,1,0,2307.6923828125
"13443",2,1,24,4,1,NA,6,1,0,1458.33337402344
"13444",2,1,28,1,72,NA,3,1,0,2367.39990234375
"13448",2,0,38,1,7,NA,5,1,0,4148.14794921875
"13450",2,0,41,1,3,NA,6,1,0,4355.5556640625
"13453",3,1,39,1,144,NA,4,1,0,3888.88891601562
"13455",3,0,32,1,144,NA,6,1,0,2430.5556640625
"13456",4,1,37,1,4,NA,6,1,0,9722.22265625
"13458",2,0,27,1,6,NA,6,1,0,2969.69702148438
"13460",2,1,33,1,180,NA,5,1,0,5441.2041015625
"13461",2,1,51,6,144,NA,4,1,0,4525.3515625
"13462",3,1,60,1,120,NA,7,1,0,10451.388671875
"13463",3,1,63,1,6,NA,7,1,0,46666.66796875
"13465",2,1,34,1,1,NA,6,1,0,5934.6064453125
"13468",2,1,33,1,180,NA,6,1,0,5384.615234375
"13470",2,0,22,4,0,NA,7,1,0,4569.44482421875
"13471",3,1,40,1,18,NA,5,1,0,3402.77783203125
"13472",3,1,22,1,24,NA,5,1,0,4630.7900390625
"13474",2,1,21,1,13,NA,7,1,0,5416.8984375
"13476",2,1,24,1,4,NA,6,1,0,4621.51171875
"13477",3,1,27,1,5,NA,7,1,0,5181.23095703125
"13478",3,0,57,1,12,NA,6,1,0,2051.38891601562
"13481",3,0,50,1,36,NA,7,1,0,7777.77783203125
"13484",3,1,80,4,240,NA,4,1,0,4666.66650390625
"13486",3,0,55,1,36,NA,4,1,0,4375
"13487",1,1,59,1,120,NA,3,1,0,4096.5478515625
"13488",1,0,20,1,3,NA,7,1,0,4375
"13489",1,1,24,1,60,NA,7,1,0,7372.68505859375
"13491",3,1,38,1,120,NA,4,1,0,2722.22216796875
"13492",3,0,59,1,60,NA,4,1,0,4545.13916015625
"13493",3,1,58,1,228,NA,6,1,0,11569.443359375
"13495",3,0,70,1,144,NA,5,1,0,9722.22265625
"13497",3,1,67,1,60,NA,3,1,0,NA
"13499",1,1,25,1,48,NA,7,1,0,5551.9287109375
"13500",1,0,24,4,36,NA,7,1,0,3500
"13502",1,0,20,1,5,NA,7,1,0,1400
"13503",1,0,47,4,24,NA,5,1,0,3111.11108398438
"13506",1,0,41,1,24,NA,6,1,0,NA
"13507",1,0,62,1,48,NA,3,1,0,1866.66662597656
"13509",1,1,23,1,36,NA,6,1,0,3645.83325195312
"13510",1,1,19,1,24,NA,5,1,0,3402.77783203125
"13514",1,0,20,1,3,NA,6,1,0,3797.7041015625
"13517",1,0,30,1,24,NA,3,1,0,4375
"13521",3,1,55,1,240,NA,6,1,0,8641.9755859375
"13524",3,0,34,1,36,NA,7,1,0,15166.6669921875
"13525",3,1,38,1,120,NA,7,1,0,11666.6669921875
"13527",1,1,40,1,24,NA,6,1,0,4200
"13528",1,1,24,1,2,NA,6,1,0,3797.7041015625
"13531",1,1,33,1,3,NA,6,1,0,3616.66674804688
"13533",3,1,45,1,300,NA,7,1,0,NA
"13536",3,0,23,6,1,NA,6,1,0,9333.3330078125
"13538",2,0,52,4,240,NA,4,1,0,4083.33325195312
"13542",3,1,44,1,180,NA,7,1,0,2160.49389648438
"13544",3,0,38,4,24,NA,6,1,0,4516.12890625
"13547",1,0,25,1,5,NA,4,1,0,4601.2568359375
"13550",4,0,46,1,6,NA,6,1,0,3888.88891601562
"13551",4,1,55,1,72,NA,6,1,0,11666.6669921875
"13555",2,1,55,1,276,NA,5,1,0,4542.47998046875
"13558",2,0,30,1,31,NA,7,1,0,9065
"13559",1,1,22,1,4,NA,4,1,0,4226.5078125
"13560",1,0,27,1,1,NA,5,1,0,4226.5078125
"13563",2,0,28,4,9,NA,6,1,0,4958.33349609375
"13566",3,1,55,1,18,NA,4,1,0,2268.5185546875
"13568",3,0,37,1,60,NA,7,1,0,3744.85595703125
"13569",3,1,34,1,5,NA,5,1,0,3888.88891601562
"13573",3,0,27,1,12,NA,7,1,0,4242.42431640625
"13575",3,1,27,1,12,NA,6,1,0,5090.9091796875
"13578",2,0,25,1,5,NA,6,1,0,3500
"13579",2,1,29,1,91,NA,6,1,0,5185.18505859375
"13581",2,0,29,1,48,NA,7,1,0,6568.38671875
"13582",2,1,19,1,36,NA,6,1,0,3381.2060546875
"13583",1,1,26,1,72,NA,7,1,0,4861.111328125
"13584",3,0,59,1,72,NA,5,1,0,2722.22216796875
"13585",3,1,32,1,10,NA,7,1,0,4200
"13586",3,1,63,1,300,NA,6,1,0,3888.88891601562
"13587",3,1,28,6,24,NA,5,1,0,NA
"13589",3,0,35,1,48,NA,7,1,0,10548.611328125
"13592",3,1,50,1,144,NA,6,1,0,4083.33325195312
"13593",3,0,49,4,144,NA,6,1,0,4083.33325195312
"13594",3,0,24,1,60,NA,6,1,0,4407.40771484375
"13595",1,1,45,1,117,NA,6,1,0,6703.73095703125
"13596",1,0,47,4,96,NA,4,1,0,NA
"13597",1,0,19,1,3,NA,7,1,0,3033.33325195312
"13599",1,0,29,1,5,NA,7,1,0,4540.703125
"13602",3,0,20,1,4,NA,7,1,0,4212.962890625
"13603",3,1,33,1,60,NA,7,1,0,4212.962890625
"13605",3,1,76,1,120,NA,6,1,0,NA
"13607",3,0,61,1,120,NA,5,1,0,7777.77783203125
"13608",3,1,46,1,120,NA,6,1,0,2083.33325195312
"13609",3,0,39,1,120,NA,7,1,0,4166.66650390625
"13610",3,1,38,1,152,NA,6,1,0,6748.2529296875
"13611",3,0,36,1,60,NA,6,1,0,6748.248046875
"13612",3,1,19,3,6,NA,7,1,0,NA
"13614",2,1,44,1,192,NA,7,1,0,11264.5712890625
"13617",1,1,31,1,12,NA,4,1,0,2268.5185546875
"13620",1,0,48,1,36,NA,4,1,0,4375
"13621",1,1,19,1,3,NA,6,1,0,2333.33325195312
"13623",2,1,26,1,5,NA,6,1,0,7319.1474609375
"13624",2,0,34,4,6,NA,6,1,0,933.333312988281
"13627",2,0,57,1,60,NA,5,1,0,1272.72729492188
"13628",2,1,27,1,48,NA,6,1,0,5389.9033203125
"13630",2,0,34,1,72,NA,7,1,0,9531.4638671875
"13631",2,1,38,1,204,NA,7,1,0,9832.2041015625
"13633",2,1,18,1,5,NA,7,1,0,4557.2451171875
"13634",2,1,19,6,1,NA,6,1,0,4375
"13636",2,0,18,4,3,NA,6,1,0,6416.66650390625
"13637",2,1,19,1,24,NA,6,1,0,4480
"13638",1,0,41,2,0,NA,6,1,0,2203.70385742188
"13640",1,1,39,1,60,NA,6,1,0,5289.91455078125
"13641",2,0,41,6,12,NA,7,1,0,24877.544921875
"13643",2,1,41,1,3,NA,6,1,0,2592.59252929688
"13644",2,1,27,1,60,NA,7,1,0,6552.06396484375
"13645",2,0,50,4,36,NA,5,1,0,NA
"13648",2,0,30,6,5,NA,6,1,0,3797.7041015625
"13652",2,0,26,1,6,NA,6,1,0,4226.5078125
"13654",2,1,25,1,3,NA,6,1,0,2916.66674804688
"13655",2,1,53,1,360,NA,4,1,0,1666.66662597656
"13656",2,1,43,1,24,NA,6,1,0,6592.638671875
"13657",2,0,53,1,121,NA,5,1,0,4370.02197265625
"13658",2,1,33,1,36,NA,4,1,0,4489.81787109375
"13659",2,1,22,1,9,NA,6,1,0,1604.16662597656
"13660",2,0,29,1,6,NA,7,1,0,4046.29614257812
"13661",2,1,25,1,1,NA,7,1,0,2303.41870117188
"13662",2,0,24,1,2,NA,7,1,0,2366.197265625
"13664",2,0,32,1,30,NA,6,1,0,4622.57373046875
"13665",2,1,29,1,3,NA,6,1,0,4388.54443359375
"13667",2,1,37,1,2,NA,5,1,0,2592.59252929688
"13668",2,0,35,1,2,NA,4,1,0,3888.88891601562
"13670",2,0,51,1,8,NA,6,1,0,2391.66674804688
"13672",3,1,32,1,2,NA,6,1,0,4131.9443359375
"13673",3,0,42,1,6,NA,6,1,0,5347.22216796875
"13676",2,1,22,1,15,NA,7,1,0,6476.83544921875
"13679",2,1,50,1,312,NA,5,1,0,4817.01806640625
"13680",2,1,49,1,360,NA,6,1,0,6222.22216796875
"13681",2,1,41,1,48,NA,4,1,0,NA
"13682",2,0,34,1,36,NA,4,1,0,2187.5
"13683",3,1,21,1,9,NA,6,1,0,5055.5556640625
"13684",3,1,28,1,4,NA,7,1,0,2000
"13685",3,0,42,1,60,NA,7,1,0,4641.7666015625
"13690",3,1,46,1,180,NA,5,1,0,4525.3515625
"13692",3,0,26,1,24,NA,7,1,0,3111.11108398438
"13693",3,1,60,1,240,NA,7,1,0,60763.890625
"13695",3,0,27,1,10,NA,7,1,0,17702.546875
"13699",3,1,48,1,120,NA,7,1,0,6611.111328125
"13703",3,1,54,1,48,NA,7,1,0,10085.1845703125
"13705",3,0,37,1,6,NA,7,1,0,4861.111328125
"13707",3,1,44,1,48,NA,7,1,0,4050.92578125
"13709",3,1,56,1,24,NA,5,1,0,5055.5556640625
"13710",3,0,24,6,24,NA,7,1,0,7240.5625
"13714",3,1,24,1,12,NA,7,1,0,8792.2705078125
"13717",3,1,27,1,4,NA,7,1,0,7963.76806640625
"13718",3,0,26,1,7,NA,7,1,0,10451.388671875
"13721",3,1,42,1,240,NA,5,1,0,24305.5546875
"13723",3,1,46,1,48,NA,7,1,0,8289.697265625
"13724",3,0,52,1,240,NA,6,1,0,8328.109375
"13726",3,1,26,1,7,NA,7,1,0,6991.3037109375
"13727",3,1,55,1,96,NA,7,1,0,4666.66650390625
"13728",3,0,47,4,120,NA,6,1,0,4537.037109375
"13730",3,0,34,1,84,NA,7,1,0,10514.5830078125
"13731",3,1,35,1,10,NA,7,1,0,7514.56396484375
"13732",2,0,47,4,4,NA,5,1,0,5250
"13733",2,1,50,6,20,NA,7,1,0,4504.6298828125
"13734",2,0,20,1,16,NA,7,1,0,5055.5556640625
"13736",3,1,24,3,48,NA,7,1,0,2916.66674804688
"13737",3,0,29,1,7,NA,7,1,0,20375.833984375
"13738",3,0,54,1,84,NA,6,1,0,6140.35107421875
"13745",2,0,29,1,48,NA,7,1,0,6472.78515625
"13746",2,1,25,1,84,NA,5,1,0,8750
"13754",3,0,46,1,124,NA,7,1,0,14486.111328125
"13757",3,1,54,1,312,NA,7,1,0,12115.384765625
"13758",3,0,33,1,18,NA,7,1,0,13308.640625
"13759",3,0,32,1,72,NA,7,1,0,30333.333984375
"13762",3,0,23,1,39,NA,7,1,0,10532.408203125
"13764",2,0,45,1,4,NA,4,1,0,1750
"13766",2,0,38,1,4,NA,4,1,0,2746.78515625
"13770",3,1,23,1,10,NA,7,1,0,8328.109375
"13771",3,1,25,1,12,NA,7,1,0,14000
"13773",3,1,32,1,24,NA,6,1,0,2592.59252929688
"13778",3,1,53,1,360,NA,5,1,0,10500
"13779",3,1,29,1,36,NA,6,1,0,8588.98828125
"13783",3,1,23,1,6,NA,7,1,0,3888.88891601562
"13784",3,1,18,1,7,NA,7,1,0,4131.9443359375
"13785",3,1,36,1,84,NA,6,1,0,4356.1416015625
"13786",3,1,20,1,4,NA,6,1,0,2916.66674804688
"13787",3,1,26,1,6,NA,5,1,0,5000
"13788",3,0,30,1,7,NA,6,1,0,2000
"13794",2,0,32,1,18,NA,6,1,0,6318.96875
"13796",2,0,21,6,3,NA,6,1,0,848.48486328125
"13797",2,1,56,1,72,NA,6,1,0,7299.7685546875
"13798",2,1,31,1,24,NA,6,1,0,5586.5615234375
"13803",3,1,39,1,9,NA,5,1,0,NA
"13804",3,0,30,1,9,NA,6,1,0,NA
"13806",2,1,66,1,1,NA,3,1,0,NA
"13807",2,1,22,1,1,NA,7,1,0,NA
"13808",2,0,57,1,4,NA,4,1,0,3500
"13809",2,0,34,1,5,NA,6,1,0,5776.02587890625
"13810",2,1,35,1,60,NA,6,1,0,23333.333984375
"13814",2,0,22,1,4,NA,7,1,0,5983.6845703125
"13817",2,0,53,1,84,NA,7,1,0,10551.3759765625
"13819",2,0,21,1,18,NA,7,1,0,4525.3515625
"13820",2,1,66,1,132,NA,6,1,0,2592.59252929688
"13822",2,1,27,1,36,NA,7,1,0,2479.16674804688
"13825",2,0,20,1,4,NA,7,1,0,4375
"13826",2,1,52,1,120,NA,6,1,0,4000
"13829",2,0,31,2,1,NA,6,1,0,1166.66662597656
"13830",2,1,54,1,15,NA,4,1,0,4844.73876953125
"13831",2,1,49,1,30,NA,6,1,0,5377.4609375
"13832",2,1,32,1,120,NA,6,1,0,3500
"13833",2,0,35,1,60,NA,6,1,0,4771.76220703125
"13839",2,1,31,1,7,NA,6,1,0,4117.64697265625
"13840",2,0,20,1,3,NA,6,1,0,2817.671875
"13842",2,0,40,1,3,NA,6,1,0,4375
"13843",2,0,33,4,24,NA,6,1,0,4166.66650390625
"13844",2,1,35,1,48,NA,6,1,0,7618.2548828125
"13845",2,1,41,1,180,NA,1,1,0,5593.73388671875
"13846",2,0,50,1,60,NA,6,1,0,3825.6943359375
"13847",2,1,48,1,276,NA,6,1,0,8693.287109375
"13848",2,0,22,1,5,NA,7,1,0,4209.72216796875
"13849",2,1,27,1,13,NA,7,1,0,3835.41674804688
"13850",2,0,48,1,288,NA,6,1,0,4802.77783203125
"13851",2,1,36,1,3,NA,6,1,0,4302.08349609375
"13852",2,1,27,1,36,NA,7,1,0,3782.27978515625
"13854",2,0,28,1,36,NA,7,1,0,5792.82373046875
"13855",2,1,47,1,96,NA,5,1,0,1696.9697265625
"13858",2,0,43,1,2,NA,6,1,0,3381.2060546875
"13859",2,1,40,6,7,NA,4,1,0,4226.5078125
"13860",2,1,51,1,60,NA,4,1,0,7140.37744140625
"13861",2,1,22,1,22,NA,7,1,0,11234.568359375
"13862",2,0,23,1,38,NA,7,1,0,13495.6328125
"13863",2,1,26,1,25,NA,6,1,0,8269.9375
"13865",2,0,51,1,5,NA,7,1,0,7174.2861328125
"13866",2,1,44,6,84,NA,7,1,0,7064.22021484375
"13867",2,0,44,1,120,NA,3,1,0,3500
"13868",2,1,46,1,3,NA,6,1,0,4618.0556640625
"13874",2,1,63,1,240,NA,4,1,0,1944.44445800781
"13879",2,0,42,1,96,NA,6,1,0,NA
"13880",2,1,39,1,144,NA,6,1,0,6667.2294921875
"13882",2,0,26,1,15,NA,7,1,0,7254.61328125
"13884",2,1,62,1,396,NA,6,1,0,NA
"13885",2,1,32,1,18,NA,7,1,0,21875
"13886",3,0,45,1,24,NA,6,1,0,4050.92578125
"13889",4,0,59,1,312,NA,7,1,0,388.888885498047
